file,n,body_tag,f1,f2,f3,f4,identity,packed_offset,packed_size,packed_payload_sha1_8
prosim.xtc,26,0x15,0.9086161851882935,0.5551425218582153,11435.486328125,6505.6298828125,ID09,9550,324,438c03c5
prosim.xtc,27,0x15,0.7750557065010071,0.6170799136161804,11950.8125,6508.7353515625,ID06,9874,380,87164d80
prosim.xtc,28,0x15,0.818823516368866,0.5490196347236633,15327.2939453125,5541.1171875,ID03,10254,341,56cec8ed
prosim.xtc,29,0x15,0.8093023300170898,0.5586034655570984,15795.8603515625,5552.8857421875,ID05,10595,308,e03741cf
prosim.xtc,30,0x15,0.8508557677268982,0.6103542447090149,16262.6796875,5532.4609375,ID01,10903,415,81c70b07
prosim.xtc,31,0x15,0.9086161851882935,0.5551425218582153,16648.486328125,5535.6298828125,ID09,11318,324,c272abb4
prosim.xtc,32,0x15,0.7750557065010071,0.6170799136161804,17163.8125,5538.7353515625,ID06,11642,692,e9431d5e
prosim.xtc,33,0x15,0.818823516368866,0.5833333134651184,16299.6845703125,7081.41650390625,ID03,12334,309,19432464
prosim.xtc,34,0x15,0.8093023300170898,0.5586034655570984,16733.861328125,7097.88525390625,ID05,12643,308,24b637d9
prosim.xtc,35,0x15,0.8093023300170898,0.5586034655570984,17183.861328125,7097.88525390625,ID05,12951,308,969bf542
prosim.xtc,36,0x15,0.818823516368866,0.5490196347236633,17615.294921875,7086.11767578125,ID03,13259,341,56e74346
prosim.xtc,37,0x15,0.818823516368866,0.5833333134651184,18099.685546875,7081.41650390625,ID03,13600,639,6e467ee9
prosim.xtc,38,0x15,1.03125,0.6777609586715698,4492.78125,12361.248046875,ID08,14239,541,1e62f3fb
prosim.xtc,39,0x15,0.818823516368866,0.5833333134651184,5050.6845703125,12410.4169921875,ID03,14780,309,edef9d99
prosim.xtc,40,0x15,0.818823516368866,0.5833333134651184,5500.6845703125,12410.4169921875,ID03,15089,309,12577927
prosim.xtc,41,0x15,0.9086161851882935,0.5551425218582153,5887.48583984375,12409.6298828125,ID09,15398,324,7048561b
prosim.xtc,42,0x15,1.03125,0.6777609586715698,12474.78125,12578.248046875,ID08,15722,115,188cec9c
prosim.xtc,43,0x15,0.818823516368866,0.5833333134651184,13032.6845703125,12627.4169921875,ID03,15837,309,7b27e4bf
prosim.xtc,44,0x15,0.818823516368866,0.5833333134651184,13482.6845703125,12627.4169921875,ID03,16146,309,d956e354
prosim.xtc,45,0x15,0.9086161851882935,0.5551425218582153,13869.486328125,12626.6298828125,ID09,16455,328,5494d82a
