transform,k,file,value_type,scope,variant,patlen,n_records_hit,n_available,mode_offset,expected_by_chance
xor,119,a,own_f4,per_record,u16LE_x1,2,2,48,268,0.000732421875
xor,119,a,own_f4,per_record,i16LE_x1,2,2,48,268,0.000732421875
xor,123,a,own_f4,per_record,u16LE_x10,2,2,48,274,0.000732421875
xor,124,a,own_f1,per_record,u16BE_x10,2,2,48,17,0.000732421875
xor,124,a,own_f1,per_record,i16BE_x10,2,2,48,17,0.000732421875
xor,125,a,own_f4,per_record,u16BE_x10,2,2,48,274,0.000732421875
xor,128,a,own_f1,per_record,u16BE_x1,2,5,48,47,0.000732421875
xor,128,a,own_f1,per_record,i16BE_x1,2,5,48,47,0.000732421875
xor,128,a,own_f2,per_record,u16BE_x1,2,5,48,47,0.000732421875
xor,128,a,own_f2,per_record,i16BE_x1,2,5,48,47,0.000732421875
xor,128,a,own_f1,per_record,u16BE_x100,2,3,48,154,0.000732421875
xor,128,a,own_f1,per_record,i16BE_x100,2,3,48,154,0.000732421875
xor,128,a,own_f1,per_record,u16LE_x1,2,5,48,46,0.000732421875
xor,128,a,own_f1,per_record,i16LE_x1,2,5,48,46,0.000732421875
xor,128,a,own_f2,per_record,u16LE_x1,2,5,48,46,0.000732421875
xor,128,a,own_f2,per_record,i16LE_x1,2,5,48,46,0.000732421875
xor,129,a,own_f1,per_record,u16LE_x1,2,5,48,47,0.000732421875
xor,129,a,own_f1,per_record,i16LE_x1,2,5,48,47,0.000732421875
xor,129,a,own_f2,per_record,u16LE_x1,2,5,48,47,0.000732421875
xor,129,a,own_f2,per_record,i16LE_x1,2,5,48,47,0.000732421875
xor,129,a,own_f1,per_record,u16BE_x1,2,5,48,46,0.000732421875
xor,129,a,own_f1,per_record,i16BE_x1,2,5,48,46,0.000732421875
xor,129,a,own_f2,per_record,u16BE_x1,2,5,48,46,0.000732421875
xor,129,a,own_f2,per_record,i16BE_x1,2,5,48,46,0.000732421875
xor,130,a,own_f1,per_record,u16BE_x1,2,2,48,314,0.000732421875
xor,130,a,own_f1,per_record,i16BE_x1,2,2,48,314,0.000732421875
xor,130,a,own_f2,per_record,u16BE_x1,2,2,48,314,0.000732421875
xor,130,a,own_f2,per_record,i16BE_x1,2,2,48,314,0.000732421875
xor,131,a,own_f1,per_record,u16LE_x1,2,2,48,314,0.000732421875
xor,131,a,own_f1,per_record,i16LE_x1,2,2,48,314,0.000732421875
xor,131,a,own_f2,per_record,u16LE_x1,2,2,48,314,0.000732421875
xor,131,a,own_f2,per_record,i16LE_x1,2,2,48,314,0.000732421875
xor,132,a,own_f1,per_record,u16LE_x10,2,2,48,26,0.000732421875
xor,132,a,own_f1,per_record,i16LE_x10,2,2,48,26,0.000732421875
xor,132,a,own_f1,per_record,u16LE_x1,2,2,48,52,0.000732421875
xor,132,a,own_f1,per_record,i16LE_x1,2,2,48,52,0.000732421875
xor,132,a,own_f1,per_record,u16BE_x1,2,2,48,207,0.000732421875
xor,132,a,own_f1,per_record,i16BE_x1,2,2,48,207,0.000732421875
xor,132,a,own_f2,per_record,u16LE_x1,2,2,48,52,0.000732421875
xor,132,a,own_f2,per_record,i16LE_x1,2,2,48,52,0.000732421875
xor,132,a,own_f2,per_record,u16BE_x1,2,2,48,207,0.000732421875
xor,132,a,own_f2,per_record,i16BE_x1,2,2,48,207,0.000732421875
xor,133,a,own_f4,per_record,u16BE_x1,2,2,48,42,0.000732421875
xor,133,a,own_f4,per_record,i16BE_x1,2,2,48,42,0.000732421875
xor,133,a,own_f1,per_record,u16LE_x1,2,2,48,207,0.000732421875
xor,133,a,own_f1,per_record,i16LE_x1,2,2,48,207,0.000732421875
xor,133,a,own_f1,per_record,u16BE_x1,2,2,48,52,0.000732421875
xor,133,a,own_f1,per_record,i16BE_x1,2,2,48,52,0.000732421875
xor,133,a,own_f1,per_record,u16BE_x10,2,2,48,133,0.000732421875
xor,133,a,own_f1,per_record,i16BE_x10,2,2,48,133,0.000732421875
xor,133,a,own_f2,per_record,u16LE_x1,2,2,48,207,0.000732421875
xor,133,a,own_f2,per_record,i16LE_x1,2,2,48,207,0.000732421875
xor,133,a,own_f2,per_record,u16BE_x1,2,2,48,52,0.000732421875
xor,133,a,own_f2,per_record,i16BE_x1,2,2,48,52,0.000732421875
xor,134,a,own_f1,per_record,u16LE_x1,2,5,48,142,0.000732421875
xor,134,a,own_f1,per_record,i16LE_x1,2,5,48,142,0.000732421875
xor,134,a,own_f2,per_record,u16LE_x1,2,5,48,142,0.000732421875
xor,134,a,own_f2,per_record,i16LE_x1,2,5,48,142,0.000732421875
xor,135,a,own_f1,per_record,u16BE_x1,2,5,48,142,0.000732421875
xor,135,a,own_f1,per_record,i16BE_x1,2,5,48,142,0.000732421875
xor,135,a,own_f2,per_record,u16BE_x1,2,5,48,142,0.000732421875
xor,135,a,own_f2,per_record,i16BE_x1,2,5,48,142,0.000732421875
xor,135,a,own_f1,per_record,u16BE_x100,2,3,48,43,0.000732421875
xor,135,a,own_f1,per_record,i16BE_x100,2,3,48,43,0.000732421875
xor,136,a,own_f1,per_record,u16LE_x1,2,4,48,11,0.000732421875
xor,136,a,own_f1,per_record,i16LE_x1,2,4,48,11,0.000732421875
xor,136,a,own_f2,per_record,u16LE_x1,2,4,48,11,0.000732421875
xor,136,a,own_f2,per_record,i16LE_x1,2,4,48,11,0.000732421875
xor,136,a,own_f2,per_record,u16LE_x100,2,4,48,81,0.000732421875
xor,136,a,own_f2,per_record,i16LE_x100,2,4,48,81,0.000732421875
xor,137,a,own_f1,per_record,u16BE_x1,2,4,48,11,0.000732421875
xor,137,a,own_f1,per_record,i16BE_x1,2,4,48,11,0.000732421875
xor,137,a,own_f2,per_record,u16BE_x1,2,4,48,11,0.000732421875
xor,137,a,own_f2,per_record,i16BE_x1,2,4,48,11,0.000732421875
xor,138,a,own_f1,per_record,u16BE_x1,2,5,48,59,0.000732421875
xor,138,a,own_f1,per_record,i16BE_x1,2,5,48,59,0.000732421875
xor,138,a,own_f2,per_record,u16BE_x1,2,5,48,59,0.000732421875
xor,138,a,own_f2,per_record,i16BE_x1,2,5,48,59,0.000732421875
xor,138,a,own_f4,per_record,u16LE_x1,2,2,48,31,0.000732421875
xor,138,a,own_f4,per_record,i16LE_x1,2,2,48,31,0.000732421875
xor,139,a,own_f1,per_record,u16LE_x1,2,5,48,59,0.000732421875
xor,139,a,own_f1,per_record,i16LE_x1,2,5,48,59,0.000732421875
xor,139,a,own_f2,per_record,u16LE_x1,2,5,48,59,0.000732421875
xor,139,a,own_f2,per_record,i16LE_x1,2,5,48,59,0.000732421875
xor,140,a,own_f1,per_record,u16BE_x10,2,2,48,26,0.000732421875
xor,140,a,own_f1,per_record,i16BE_x10,2,2,48,26,0.000732421875
xor,141,a,own_f1,per_record,u16LE_x10,2,2,48,133,0.000732421875
xor,141,a,own_f1,per_record,i16LE_x10,2,2,48,133,0.000732421875
xor,141,a,own_f3_delta,per_record,u16LE_x100,2,2,36,105,0.00054931640625
xor,142,a,own_f1,per_record,u16LE_x1,2,6,48,188,0.000732421875
xor,142,a,own_f1,per_record,i16LE_x1,2,6,48,188,0.000732421875
xor,142,a,own_f2,per_record,u16LE_x1,2,6,48,188,0.000732421875
xor,142,a,own_f2,per_record,i16LE_x1,2,6,48,188,0.000732421875
xor,143,a,own_f1,per_record,u16BE_x1,2,6,48,188,0.000732421875
xor,143,a,own_f1,per_record,i16BE_x1,2,6,48,188,0.000732421875
xor,143,a,own_f2,per_record,u16BE_x1,2,6,48,188,0.000732421875
xor,143,a,own_f2,per_record,i16BE_x1,2,6,48,188,0.000732421875
xor,144,a,own_f1,per_record,u16BE_x1,2,5,48,76,0.000732421875
xor,144,a,own_f1,per_record,i16BE_x1,2,5,48,76,0.000732421875
xor,144,a,own_f2,per_record,u16BE_x1,2,5,48,76,0.000732421875
xor,144,a,own_f2,per_record,i16BE_x1,2,5,48,76,0.000732421875
xor,144,a,own_f2,per_record,u16LE_x10,2,5,48,159,0.000732421875
xor,144,a,own_f2,per_record,i16LE_x10,2,5,48,159,0.000732421875
xor,145,a,own_f1,per_record,u16LE_x1,2,5,48,76,0.000732421875
xor,145,a,own_f1,per_record,i16LE_x1,2,5,48,76,0.000732421875
xor,145,a,own_f2,per_record,u16LE_x1,2,5,48,76,0.000732421875
xor,145,a,own_f2,per_record,i16LE_x1,2,5,48,76,0.000732421875
xor,146,a,own_f2,per_record,u16LE_x10,2,4,48,295,0.000732421875
xor,146,a,own_f2,per_record,i16LE_x10,2,4,48,295,0.000732421875
xor,146,a,own_f1,per_record,u16BE_x1,2,2,48,47,0.000732421875
xor,146,a,own_f1,per_record,i16BE_x1,2,2,48,47,0.000732421875
xor,146,a,own_f2,per_record,u16BE_x1,2,2,48,47,0.000732421875
xor,146,a,own_f2,per_record,i16BE_x1,2,2,48,47,0.000732421875
xor,146,a,own_f1,per_record,u16LE_x10,2,5,48,218,0.000732421875
xor,146,a,own_f1,per_record,i16LE_x10,2,5,48,218,0.000732421875
xor,147,a,own_f1,per_record,u16LE_x1,2,2,48,47,0.000732421875
xor,147,a,own_f1,per_record,i16LE_x1,2,2,48,47,0.000732421875
xor,147,a,own_f2,per_record,u16LE_x1,2,2,48,47,0.000732421875
xor,147,a,own_f2,per_record,i16LE_x1,2,2,48,47,0.000732421875
xor,148,a,own_f2,per_record,u16BE_x10,2,4,48,295,0.000732421875
xor,148,a,own_f2,per_record,i16BE_x10,2,4,48,295,0.000732421875
xor,148,a,own_f1,per_record,u16BE_x1,2,2,48,307,0.000732421875
xor,148,a,own_f1,per_record,i16BE_x1,2,2,48,307,0.000732421875
xor,148,a,own_f2,per_record,u16BE_x1,2,2,48,307,0.000732421875
xor,148,a,own_f2,per_record,i16BE_x1,2,2,48,307,0.000732421875
xor,149,a,own_f1,per_record,u16LE_x1,2,2,48,307,0.000732421875
xor,149,a,own_f1,per_record,i16LE_x1,2,2,48,307,0.000732421875
xor,149,a,own_f2,per_record,u16LE_x1,2,2,48,307,0.000732421875
xor,149,a,own_f2,per_record,i16LE_x1,2,2,48,307,0.000732421875
xor,150,a,own_f2,per_record,u16BE_x10,2,5,48,159,0.000732421875
xor,150,a,own_f2,per_record,i16BE_x10,2,5,48,159,0.000732421875
xor,151,a,own_f1,per_record,u16LE_x100,2,4,48,224,0.000732421875
xor,151,a,own_f1,per_record,i16LE_x100,2,4,48,224,0.000732421875
xor,152,a,own_f1,per_record,u16BE_x1,2,4,48,179,0.000732421875
xor,152,a,own_f1,per_record,i16BE_x1,2,4,48,179,0.000732421875
