file,week,block_index,index_in_block,global_index,offset,tag,identity,f1,f2,f3,f4
prosim1.xtc,13,0,29,29,580,0x15,ID04,0.6397058963775635,0.6637036800384521,13705.712890625,3468.03857421875
prosim1.xtc,13,0,30,30,597,0x15,ID06,0.7750557065010071,0.6170799136161804,14146.8125,3529.7353515625
prosim1.xtc,13,0,31,31,614,0x15,ID06,0.7750557065010071,0.6170799136161804,14596.8125,3529.7353515625
prosim1.xtc,13,0,32,32,631,0x15,ID01,0.8508557677268982,0.6103542447090149,15045.6796875,3523.46044921875
prosim1.xtc,13,0,33,33,648,0x15,ID10,1.0192307233810425,1.0144927501678467,15342.115234375,3254.203125
prosim1.xtc,13,0,34,34,665,0x15,ID08,1.03125,0.6777609586715698,15836.78125,3478.248046875
prosim1.xtc,13,0,35,35,682,0x15,ID05,0.8093023300170898,0.5586034655570984,16378.859375,3543.88525390625
prosim1.xtc,13,0,36,36,699,0x15,ID08,1.03125,0.6777609586715698,13585.78125,4508.248046875
prosim1.xtc,13,0,37,37,716,0x15,ID04,0.6397058963775635,0.6637036800384521,14154.712890625,4498.0380859375
prosim1.xtc,13,0,38,38,733,0x15,ID03,0.818823516368866,0.5490196347236633,14559.2939453125,4562.1171875
prosim1.xtc,13,0,39,39,750,0x15,ID01,0.8508557677268982,0.6103542447090149,15044.6796875,4553.4609375
prosim1.xtc,13,0,40,40,767,0x15,ID02,0.8074246048927307,0.5699745416641235,15464.56640625,4574.4931640625
prosim1.xtc,13,0,41,41,784,0x15,ID10,1.0192307233810425,1.0144927501678467,15791.115234375,4284.203125
prosim1.xtc,13,0,42,42,801,0x15,ID03,0.818823516368866,0.5833333134651184,16393.68359375,4557.4169921875
prosim1.xtc,13,0,43,43,818,0x15,ID02,0.8074246048927307,0.5699745416641235,16814.56640625,4574.4931640625
prosim1.xtc,13,0,-1,44,835,0x12,SEP,2.800361156463623,2.8004164695739746,,
prosim1.xtc,13,1,0,45,844,0x15,ID05,0.8093023300170898,0.5586034655570984,14247.8603515625,6017.88525390625
prosim1.xtc,13,1,1,46,861,0x15,ID01,0.8508557677268982,0.6103542447090149,14714.6796875,5997.46044921875
prosim1.xtc,13,1,2,47,878,0x15,ID07,0.9666666388511658,0.5941644310951233,15152.2666015625,6010.87548828125
prosim1.xtc,13,1,3,48,895,0x15,ID05,0.8093023300170898,0.5586034655570984,15597.8603515625,6017.88525390625
prosim1.xtc,13,1,4,49,912,0x15,ID03,0.818823516368866,0.5490196347236633,16029.2939453125,6006.11767578125
prosim1.xtc,13,1,5,50,929,0x15,ID10,1.0192307233810425,1.0144927501678467,16361.115234375,5728.203125
prosim1.xtc,13,1,6,51,946,0x15,ID03,0.818823516368866,0.5490196347236633,16929.294921875,6006.11767578125
prosim1.xtc,13,1,-1,52,963,0x12,SEP,2.800361156463623,2.800351142883301,,
prosim1.xtc,13,2,0,53,972,0x15,ID06,0.7750557065010071,0.6170799136161804,2379.81298828125,14390.7353515625
prosim1.xtc,13,2,1,54,989,0x15,ID10,1.0192307233810425,1.0144927501678467,2675.115478515625,14115.203125
prosim1.xtc,13,2,2,55,1006,0x15,ID08,1.03125,0.6777609586715698,3169.78125,14339.248046875
prosim1.xtc,13,2,3,56,1023,0x15,ID04,0.6397058963775635,0.6637036800384521,3738.713134765625,14329.0380859375
prosim1.xtc,13,2,4,57,1040,0x15,ID01,0.8508557677268982,0.6103542447090149,4178.6796875,14384.4609375
prosim1.xtc,13,2,5,58,1057,0x15,ID02,0.8074246048927307,0.5699745416641235,9513.56640625,13429.4931640625
prosim1.xtc,13,2,6,59,1074,0x15,ID08,1.03125,0.6777609586715698,9884.78125,13363.248046875
prosim1.xtc,13,2,7,60,1091,0x15,ID03,0.818823516368866,0.5833333134651184,10442.6845703125,13412.4169921875
prosim1.xtc,13,2,8,61,1108,0x15,ID03,0.818823516368866,0.5490196347236633,10858.2939453125,13417.1171875
prosim1.xtc,13,2,-1,62,1125,0x12,SEP,2.8004531860351562,2.7999753952026367,,
prosim1.xtc,13,3,0,63,1134,0x15,ID03,0.818823516368866,0.5490196347236633,3185.294189453125,18629.1171875
prosim1.xtc,13,3,1,64,1151,0x15,ID05,0.8093023300170898,0.5586034655570984,3653.8603515625,18640.884765625
prosim1.xtc,13,3,2,65,1168,0x15,ID01,0.8508557677268982,0.6103542447090149,4120.6796875,18620.4609375
prosim1.xtc,13,3,3,66,1185,0x15,ID09,0.9086161851882935,0.5551425218582153,4506.48583984375,18623.62890625
prosim1.xtc,13,3,4,67,1202,0x15,ID06,0.7750557065010071,0.6170799136161804,5021.81298828125,18626.736328125
prosim1.xtc,13,3,5,68,1219,0x15,ID08,1.03125,0.6777609586715698,4115.78125,22775.248046875
prosim1.xtc,13,3,6,69,1236,0x15,ID08,1.03125,0.6777609586715698,4565.78125,22775.248046875
prosim1.xtc,13,3,7,70,1253,0x15,ID04,0.6397058963775635,0.6637036800384521,5134.71337890625,22765.0390625
prosim1.xtc,13,3,8,71,1270,0x15,ID03,0.818823516368866,0.5833333134651184,5573.6845703125,22824.416015625
prosim1.xtc,13,3,9,72,1287,0x15,ID10,1.0192307233810425,1.0144927501678467,5871.115234375,22551.203125
prosim1.xtc,13,3,10,73,1304,0x15,ID02,0.8074246048927307,0.5699745416641235,6444.56591796875,22841.494140625
prosim1.xtc,13,3,11,74,1321,0x15,ID04,0.6397058963775635,0.6637036800384521,6934.71337890625,22765.0390625
prosim1.xtc,13,3,12,75,1338,0x15,ID08,1.03125,0.6777609586715698,7265.78125,22775.248046875
